State Observation from node 8 at different cw 
TimeStart 	 Duration 	 state 	 channel 	 cw 
+1.40406e+09ns	+768000ns	TX	178	29
+1.40483e+09ns	+33ns	CCA_BUSY	178	29
+1.40483e+09ns	+1.22301e+07ns	IDLE	178	29
+1.41706e+09ns	+36000ns	CCA_BUSY	178	29
+1.41709e+09ns	+0ns	CCA_BUSY	178	29
+1.41709e+09ns	+728000ns	RX	178	29
+1.41782e+09ns	+6.432e+06ns	IDLE	178	29
+1.42425e+09ns	+36000ns	CCA_BUSY	178	29
+1.42429e+09ns	+0ns	CCA_BUSY	178	29
+1.42429e+09ns	+728000ns	RX	178	29
+1.42502e+09ns	+61999ns	IDLE	178	29
+1.42508e+09ns	+36000ns	CCA_BUSY	178	29
+1.42511e+09ns	+0ns	CCA_BUSY	178	29
+1.42511e+09ns	+728000ns	RX	178	29
+1.42584e+09ns	+2.16803e+06ns	IDLE	178	29
+1.42801e+09ns	+36000ns	CCA_BUSY	178	29
+1.42805e+09ns	+0ns	CCA_BUSY	178	29
+1.42805e+09ns	+728000ns	RX	178	29
+1.42877e+09ns	+2.12259e+07ns	IDLE	178	29
+1.45e+09ns	+250000ns	SWITCHING	178	29
TimeStart 	 Duration 	 state 	 channel 	 cw 
+1.45025e+09ns	+4.975e+07ns	IDLE	172	30
+1.5e+09ns	+250000ns	SWITCHING	172	30
TimeStart 	 Duration 	 state 	 channel 	 cw 
+1.50025e+09ns	+3.81203e+06ns	IDLE	178	31
+1.50406e+09ns	+36000ns	CCA_BUSY	178	31
+1.5041e+09ns	+0ns	CCA_BUSY	178	31
+1.5041e+09ns	+728000ns	RX	178	31
+1.50483e+09ns	+75100ns	IDLE	178	31
+1.5049e+09ns	+36000ns	CCA_BUSY	178	31
+1.50494e+09ns	+0ns	CCA_BUSY	178	31
+1.50494e+09ns	+728000ns	RX	178	31
+1.50567e+09ns	+1.0367e+07ns	IDLE	178	31
+1.51603e+09ns	+768000ns	TX	178	31
+1.5168e+09ns	+1.49472e+07ns	IDLE	178	31
+1.53175e+09ns	+36000ns	CCA_BUSY	178	31
+1.53178e+09ns	+0ns	CCA_BUSY	178	31
+1.53178e+09ns	+728000ns	RX	178	31
+1.53251e+09ns	+7.381e+06ns	IDLE	178	31
+1.53989e+09ns	+36000ns	CCA_BUSY	178	31
+1.53993e+09ns	+0ns	CCA_BUSY	178	31
+1.53993e+09ns	+728000ns	RX	178	31
+1.54066e+09ns	+9.3437e+06ns	IDLE	178	31
+1.55e+09ns	+250000ns	SWITCHING	178	31
TimeStart 	 Duration 	 state 	 channel 	 cw 
+1.55025e+09ns	+4.975e+07ns	IDLE	172	32
+1.6e+09ns	+250000ns	SWITCHING	172	32
TimeStart 	 Duration 	 state 	 channel 	 cw 
+1.60025e+09ns	+3.81202e+06ns	IDLE	178	33
+1.60406e+09ns	+36000ns	CCA_BUSY	178	33
+1.6041e+09ns	+0ns	CCA_BUSY	178	33
+1.6041e+09ns	+728000ns	RX	178	33
+1.60483e+09ns	+8.26507e+06ns	IDLE	178	33
+1.61309e+09ns	+36000ns	CCA_BUSY	178	33
+1.61313e+09ns	+0ns	CCA_BUSY	178	33
+1.61313e+09ns	+728000ns	RX	178	33
+1.61386e+09ns	+5.769e+06ns	IDLE	178	33
+1.61962e+09ns	+36000ns	CCA_BUSY	178	33
+1.61966e+09ns	+0ns	CCA_BUSY	178	33
+1.61966e+09ns	+728000ns	RX	178	33
+1.62039e+09ns	+1.9194e+07ns	IDLE	178	33
+1.63958e+09ns	+768000ns	TX	178	33
+1.64035e+09ns	+361200ns	IDLE	178	33
+1.64071e+09ns	+36000ns	CCA_BUSY	178	33
+1.64075e+09ns	+0ns	CCA_BUSY	178	33
+1.64075e+09ns	+728000ns	RX	178	33
+1.64148e+09ns	+2.09e+06ns	IDLE	178	33
+1.64357e+09ns	+36000ns	CCA_BUSY	178	33
+1.6436e+09ns	+0ns	CCA_BUSY	178	33
+1.6436e+09ns	+728000ns	RX	178	33
+1.64433e+09ns	+5.67072e+06ns	IDLE	178	33
+1.65e+09ns	+250000ns	SWITCHING	178	33
TimeStart 	 Duration 	 state 	 channel 	 cw 
+1.65025e+09ns	+4.975e+07ns	IDLE	172	34
+1.7e+09ns	+250000ns	SWITCHING	172	34
TimeStart 	 Duration 	 state 	 channel 	 cw 
+1.70025e+09ns	+3.81202e+06ns	IDLE	178	35
+1.70406e+09ns	+764000ns	CCA_BUSY	178	35
+1.70483e+09ns	+3.0911e+07ns	IDLE	178	35
+1.73574e+09ns	+36000ns	CCA_BUSY	178	35
+1.73577e+09ns	+0ns	CCA_BUSY	178	35
+1.73577e+09ns	+728000ns	RX	178	35
+1.7365e+09ns	+1.07607e+06ns	IDLE	178	35
+1.73758e+09ns	+36000ns	CCA_BUSY	178	35
+1.73761e+09ns	+0ns	CCA_BUSY	178	35
+1.73761e+09ns	+728000ns	RX	178	35
+1.73834e+09ns	+2.96107e+06ns	IDLE	178	35
+1.7413e+09ns	+36000ns	CCA_BUSY	178	35
+1.74134e+09ns	+0ns	CCA_BUSY	178	35
+1.74134e+09ns	+728000ns	RX	178	35
+1.74207e+09ns	+4.426e+06ns	IDLE	178	35
+1.74649e+09ns	+768000ns	TX	178	35
+1.74726e+09ns	+2.73982e+06ns	IDLE	178	35
+1.75e+09ns	+250000ns	SWITCHING	178	35
TimeStart 	 Duration 	 state 	 channel 	 cw 
