Observation from node 1 : 
nodeid 	 ls 	 lc 	 le 	 ltx 	 minRxPower(snr) 	 maxRxPower(snr) 	 channelNumber 	 cwid 	 label(jammed or not)	 number of neighbors 
1	0	0	0	0	0	0	172	128	0	8
1	5	0	0	0	0	47967.7	178	129	0	8
1	0	0	0	0	0	0	172	130	0	8
1	5	3	0	0	0	47967.7	178	131	0	8
1	0	0	0	0	0	0	172	132	0	8
1	2	2	0	0	0	5995.96	178	133	0	8
1	0	0	0	0	0	0	172	134	0	8
1	3	5	0	0	0	5995.96	178	135	0	8
1	0	0	0	0	0	0	172	136	0	8
1	4	3	0	0	0	749.495	178	137	0	8
1	0	0	0	0	0	0	172	138	0	8
1	6	0	0	0	0	47967.7	178	139	0	8
1	0	0	0	0	0	0	172	140	0	8
1	4	2	0	0	0	47967.7	178	141	0	8
1	0	0	0	0	0	0	172	142	0	8
1	3	4	0	0	0	47967.7	178	143	0	8
1	0	0	0	0	0	0	172	144	0	8
1	3	4	0	0	0	47967.7	178	145	0	8
1	0	0	0	0	0	0	172	146	0	8
1	6	1	0	0	0	47967.7	178	147	0	8
1	0	0	0	0	0	0	172	148	0	8
1	6	0	0	0	0	47967.7	178	149	0	8
1	0	0	0	0	0	0	172	150	0	8
1	3	1	1	0	0	5995.96	178	151	0	8
1	0	0	0	0	0	0	172	152	0	8
1	2	4	0	0	0	5995.96	178	153	0	8
1	0	0	0	0	0	0	172	154	0	8
1	4	3	1	0	0	47967.7	178	155	0	8
1	0	0	0	0	0	0	172	156	0	8
1	2	3	1	0	0	47967.7	178	157	0	8
1	0	0	0	0	0	0	172	158	0	8
1	5	2	0	0	0	47967.7	178	159	0	8
1	0	0	0	0	0	0	172	160	0	8
1	4	3	0	0	0	47967.7	178	161	0	8
1	0	0	0	0	0	0	172	162	0	8
1	4	1	0	0	0	5995.96	178	163	0	8
1	0	0	0	0	0	0	172	164	0	8
1	4	3	0	0	0	749.495	178	165	0	8
1	0	0	0	0	0	0	172	166	0	8
1	3	4	0	0	0	749.495	178	167	0	8
1	0	0	0	0	0	0	172	168	0	8
1	6	1	0	0	0	47967.7	178	169	0	8
1	0	0	0	0	0	0	172	170	0	8
1	5	1	1	0	0	5995.96	178	171	0	8
1	0	0	0	0	0	0	172	172	0	8
1	5	1	0	0	0	5995.96	178	173	0	8
1	0	0	0	0	0	0	172	174	0	8
1	3	3	0	0	0	5995.96	178	175	0	8
1	0	0	0	0	0	0	172	176	0	8
1	3	3	0	0	0	749.495	178	177	0	8
1	0	0	0	0	0	0	172	178	0	8
1	3	3	1	0	0	47967.7	178	179	0	8
1	0	0	0	0	0	0	172	180	0	8
1	4	3	0	0	0	47967.7	178	181	0	8
1	0	0	0	0	0	0	172	182	0	8
1	4	2	0	0	0	1776.58	178	183	0	8
1	0	0	0	0	0	0	172	184	0	8
1	4	4	0	0	0	1776.58	178	185	0	8
1	0	0	0	0	0	0	172	186	0	8
1	6	1	0	0	0	5995.96	178	187	0	8
1	0	0	0	0	0	0	172	188	0	8
1	5	1	0	0	0	5995.96	178	189	0	8
1	0	0	0	0	0	0	172	190	0	8
1	4	2	0	0	0	47967.7	178	191	0	8
1	0	0	0	0	0	0	172	192	0	8
1	4	2	0	0	0	47967.7	178	193	0	8
1	0	0	0	0	0	0	172	194	0	8
1	5	3	0	0	0	47967.7	178	195	0	8
1	0	0	0	0	0	0	172	196	0	8
1	4	1	1	0	0	1776.58	178	197	0	8
1	0	0	0	0	0	0	172	198	0	8
1	4	2	0	0	0	749.495	178	199	0	8
1	0	0	0	0	0	0	172	200	0	8
1	4	2	1	0	0	47967.7	178	201	0	8
1	0	0	0	0	0	0	172	202	0	8
1	1	3	1	0	0	47967.7	178	203	0	8
1	0	0	0	0	0	0	172	204	0	8
1	4	4	0	0	0	47967.7	178	205	0	8
1	0	0	0	0	0	0	172	206	0	8
1	4	3	0	0	0	1776.58	178	207	0	8
1	0	0	0	0	0	0	172	208	0	8
1	6	1	0	0	0	5995.96	178	209	0	8
1	0	0	0	0	0	0	172	210	0	8
1	4	2	0	0	0	5995.96	178	211	0	8
1	0	0	0	0	0	0	172	212	0	8
1	3	3	0	0	0	749.495	178	213	0	8
1	0	0	0	0	0	0	172	214	0	8
1	3	3	0	0	0	47967.7	178	215	0	8
1	0	0	0	0	0	0	172	216	0	8
1	2	5	1	0	0	47967.7	178	217	0	8
1	0	0	0	0	0	0	172	218	0	8
